time_utc,ch4,co2_ppm
YYYY-MM-DD HH:mm,ppb,ppm
2023-05-02 17:05,2926.7,435.13
2023-05-02 18:05,2652.5,430.88
2023-05-02 19:05,2317.0,429.98
2023-05-02 20:05,2251.6,427.3
2023-05-02 21:05,2211.7,426.76
2023-05-02 22:05,2124.2,426.77
2023-05-02 23:05,2121.4,426.21
2023-05-03 00:05,2263.4,427.21
2023-05-03 01:05,2126.4,429.41
2023-05-03 02:05,2110.9,428.97
2023-05-03 03:05,2533.7,429.5
2023-05-03 04:05,2312.3,431.13
2023-05-03 05:05,2120.5,428.17
2023-05-03 06:05,2194.7,429.75
2023-05-03 07:05,2765.3,433.36
2023-05-03 08:05,2687.0,438.62
2023-05-03 09:05,2604.3,447.83
2023-05-03 10:05,2506.6,435.22
2023-05-03 11:05,2449.0,438.39
2023-05-03 12:05,2381.6,437.63
2023-05-03 13:05,2803.4,442.92
2023-05-03 14:05,2854.3,438.54
2023-05-03 15:05,2581.5,434.81
2023-05-03 16:05,2422.7,431.18
2023-05-03 17:05,2239.4,427.23
2023-05-03 18:05,2248.6,426.96
2023-05-03 19:05,2190.9,425.85
2023-05-03 20:05,2121.9,424.98
2023-05-03 21:05,2092.5,424.36
2023-05-03 22:05,2060.0,423.94
2023-05-03 23:05,2041.6,424.19
2023-05-04 00:05,2079.6,425.9
2023-05-04 01:05,2257.8,433.8
2023-05-04 02:05,2821.4,434.09
2023-05-04 03:05,2446.2,441.36
2023-05-04 04:05,3432.2,453.57
2023-05-04 05:05,2710.7,448.12
2023-05-04 06:05,2546.7,461.74
2023-05-04 07:05,2264.3,457.34
2023-05-04 08:05,2936.1,467.16
2023-05-04 09:05,2376.4,483.37
2023-05-04 10:05,3039.9,469.27
2023-05-04 11:05,4464.0,469.92
2023-05-04 12:05,2236.0,432.98
2023-05-04 13:05,2148.3,432.21
2023-05-04 14:05,2838.3,435.5
2023-05-04 15:05,2153.9,428.66
2023-05-04 16:05,1947.3,423.68
2023-05-04 17:05,2070.8,425.59
2023-05-04 18:05,2080.3,425.42
2023-05-04 19:05,2012.8,424.74
2023-05-04 20:05,1989.3,424.19
2023-05-04 21:05,1950.9,423.79
